year,a_council,total,topic,share,n
2006,Bundesrat,91,Sicherheitspolitik,0.07692307692307693,7
2006,Volksinitiative,6,Sicherheitspolitik,0.16666666666666669,1
2007,Nationalrat,1398,Sicherheitspolitik,0.08798283261802575,123
2007,Ständerat,136,Sicherheitspolitik,0.0661764705882353,9
2007,Bundesrat,82,Sicherheitspolitik,0.12195121951219512,10
2007,Volksinitiative,4,Sicherheitspolitik,0,0
2008,Nationalrat,1644,Sicherheitspolitik,0.09610705596107057,158
2008,Ständerat,142,Sicherheitspolitik,0.08450704225352113,12
2008,Bundesrat,60,Sicherheitspolitik,0.08333333333333334,5
2008,Volksinitiative,6,Sicherheitspolitik,0.16666666666666669,1
2009,Nationalrat,2104,Sicherheitspolitik,0.07842205323193915,165
2009,Ständerat,201,Sicherheitspolitik,0.04975124378109452,10
2009,Bundesrat,79,Sicherheitspolitik,0.10126582278481014,8
2009,Volksinitiative,7,Sicherheitspolitik,0.28571428571428575,2
2010,Nationalrat,1873,Sicherheitspolitik,0.06673785371062467,125
2010,Ständerat,184,Sicherheitspolitik,0.07065217391304347,13
2010,Bundesrat,100,Sicherheitspolitik,0.09,9
2010,Volksinitiative,6,Sicherheitspolitik,0,0
2011,Nationalrat,1792,Sicherheitspolitik,0.05412946428571429,97
2011,Ständerat,179,Sicherheitspolitik,0.055865921787709494,10
2011,Bundesrat,61,Sicherheitspolitik,0.06557377049180328,4
2011,Volksinitiative,3,Sicherheitspolitik,0,0
2012,Nationalrat,1852,Sicherheitspolitik,0.04481641468682505,83
2012,Ständerat,187,Sicherheitspolitik,0.0320855614973262,6
2012,Bundesrat,84,Sicherheitspolitik,0.10714285714285714,9
2012,Volksinitiative,10,Sicherheitspolitik,0.1,1
2013,Nationalrat,1940,Sicherheitspolitik,0.09072164948453608,176
2013,Ständerat,182,Sicherheitspolitik,0.04395604395604396,8
2013,Bundesrat,86,Sicherheitspolitik,0.10465116279069768,9
2013,Volksinitiative,11,Sicherheitspolitik,0,0
2014,Nationalrat,1994,Sicherheitspolitik,0.08625877632898696,172
2014,Ständerat,185,Sicherheitspolitik,0.06486486486486487,12
2014,Bundesrat,84,Sicherheitspolitik,0.14285714285714288,12
2014,Volksinitiative,7,Sicherheitspolitik,0,0
2015,Nationalrat,1944,Sicherheitspolitik,0.08539094650205761,166
2015,Ständerat,174,Sicherheitspolitik,0.07471264367816093,13
2015,Bundesrat,71,Sicherheitspolitik,0.08450704225352113,6
2015,Volksinitiative,4,Sicherheitspolitik,0,0
2016,Nationalrat,1811,Sicherheitspolitik,0.12921038100496962,234
2016,Ständerat,171,Sicherheitspolitik,0.07602339181286549,13
2016,Bundesrat,69,Sicherheitspolitik,0.07246376811594203,5
2016,Volksinitiative,3,Sicherheitspolitik,0,0
2017,Nationalrat,2048,Sicherheitspolitik,0.1201171875,246
2017,Ständerat,179,Sicherheitspolitik,0.08938547486033518,16
2017,Bundesrat,60,Sicherheitspolitik,0.15,9
2017,Volksinitiative,7,Sicherheitspolitik,0,0
2018,Nationalrat,1127,Sicherheitspolitik,0.11002661934338953,124
2018,Ständerat,82,Sicherheitspolitik,0.04878048780487805,4
2018,Bundesrat,39,Sicherheitspolitik,0.10256410256410257,4
2018,Volksinitiative,2,Sicherheitspolitik,0,0
2000,Nationalrat,239,Europapolitik,0.016736401673640166,4
2000,Ständerat,33,Europapolitik,0.06060606060606061,2
2000,Bundesrat,9,Europapolitik,0.1111111111111111,1
2000,Volksinitiative,5,Europapolitik,0,0
2001,Nationalrat,1172,Europapolitik,0.01962457337883959,23
2001,Ständerat,122,Europapolitik,0.02459016393442623,3
2001,Bundesrat,70,Europapolitik,0.014285714285714285,1
2001,Volksinitiative,5,Europapolitik,0,0
2002,Nationalrat,1139,Europapolitik,0.02019315188762072,23
2002,Ständerat,138,Europapolitik,0.028985507246376812,4
2002,Bundesrat,82,Europapolitik,0.024390243902439025,2
2003,Nationalrat,1054,Europapolitik,0.018026565464895637,19
2003,Ständerat,115,Europapolitik,0.034782608695652174,4
2003,Bundesrat,73,Europapolitik,0.0547945205479452,4
2003,Volksinitiative,2,Europapolitik,0,0
2004,Nationalrat,1249,Europapolitik,0.029623698959167336,37
2004,Ständerat,123,Europapolitik,0.06504065040650406,8
2004,Bundesrat,75,Europapolitik,0.09333333333333334,7
2004,Volksinitiative,3,Europapolitik,0,0
2005,Nationalrat,1348,Europapolitik,0.03486646884272997,47
2005,Ständerat,135,Europapolitik,0.044444444444444446,6
2005,Bundesrat,74,Europapolitik,0.05405405405405405,4
2005,Volksinitiative,3,Europapolitik,0,0
2006,Nationalrat,1352,Europapolitik,0.03994082840236687,54
2006,Ständerat,124,Europapolitik,0.04838709677419355,6
2006,Bundesrat,91,Europapolitik,0.03296703296703297,3
2006,Volksinitiative,6,Europapolitik,0,0
2007,Nationalrat,1398,Europapolitik,0.02932761087267525,41
2007,Ständerat,136,Europapolitik,0.007352941176470589,1
2007,Bundesrat,82,Europapolitik,0.07317073170731708,6
2007,Volksinitiative,4,Europapolitik,0,0
2008,Nationalrat,1644,Europapolitik,0.0267639902676399,44
2008,Ständerat,142,Europapolitik,0.02816901408450704,4
2008,Bundesrat,60,Europapolitik,0.1,6
2008,Volksinitiative,6,Europapolitik,0,0
2009,Nationalrat,2104,Europapolitik,0.028041825095057035,59
2009,Ständerat,201,Europapolitik,0.03482587064676617,7
2009,Bundesrat,79,Europapolitik,0.13924050632911392,11
2009,Volksinitiative,7,Europapolitik,0,0
2010,Nationalrat,1873,Europapolitik,0.03150026695141484,59
2010,Ständerat,184,Europapolitik,0.03260869565217391,6
2010,Bundesrat,100,Europapolitik,0.06,6
2010,Volksinitiative,6,Europapolitik,0,0
2011,Nationalrat,1792,Europapolitik,0.040736607142857144,73
2011,Ständerat,179,Europapolitik,0.01675977653631285,3
2011,Bundesrat,61,Europapolitik,0,0
2011,Volksinitiative,3,Europapolitik,0,0
2012,Nationalrat,1852,Europapolitik,0.011879049676025918,22
2012,Ständerat,187,Europapolitik,0.021390374331550804,4
2012,Bundesrat,84,Europapolitik,0.047619047619047616,4
2012,Volksinitiative,10,Europapolitik,0,0
2013,Nationalrat,1940,Europapolitik,0.02268041237113402,44
2013,Ständerat,182,Europapolitik,0.038461538461538464,7
2013,Bundesrat,86,Europapolitik,0.06976744186046512,6
2013,Volksinitiative,11,Europapolitik,0,0
2014,Nationalrat,1994,Europapolitik,0.07372116349047142,147
2014,Ständerat,185,Europapolitik,0.06486486486486487,12
2014,Bundesrat,84,Europapolitik,0.07142857142857144,6
2014,Volksinitiative,7,Europapolitik,0,0
2015,Nationalrat,1944,Europapolitik,0.04835390946502058,94
2015,Ständerat,174,Europapolitik,0.08045977011494253,14
2015,Bundesrat,71,Europapolitik,0.09859154929577464,7
2015,Volksinitiative,4,Europapolitik,0,0
2016,Nationalrat,1811,Europapolitik,0.06184428492545555,112
2016,Ständerat,171,Europapolitik,0.06432748538011696,11
2016,Bundesrat,69,Europapolitik,0.07246376811594203,5
2016,Volksinitiative,3,Europapolitik,0,0
2017,Nationalrat,2048,Europapolitik,0.07421875,152
2017,Ständerat,179,Europapolitik,0.1005586592178771,18
2017,Bundesrat,60,Europapolitik,0.1,6
2017,Volksinitiative,7,Europapolitik,0.28571428571428575,2
2018,Nationalrat,1127,Europapolitik,0.05944986690328305,67
2018,Ständerat,82,Europapolitik,0.04878048780487805,4
2018,Bundesrat,39,Europapolitik,0.05128205128205129,2
2018,Volksinitiative,2,Europapolitik,0,0
2000,Nationalrat,239,Wirtschaft,0.1297071129707113,31
2000,Ständerat,33,Wirtschaft,0.2121212121212121,7
2000,Bundesrat,9,Wirtschaft,0.2222222222222222,2
2000,Volksinitiative,5,Wirtschaft,0.2,1
2001,Nationalrat,1172,Wirtschaft,0.11774744027303755,138
2001,Ständerat,122,Wirtschaft,0.13114754098360656,16
2001,Bundesrat,70,Wirtschaft,0.1285714285714286,9
2001,Volksinitiative,5,Wirtschaft,0,0
2002,Nationalrat,1139,Wirtschaft,0.10974539069359088,125
2002,Ständerat,138,Wirtschaft,0.10144927536231885,14
2002,Bundesrat,82,Wirtschaft,0.0975609756097561,8
2003,Nationalrat,1054,Wirtschaft,0.1337760910815939,141
2003,Ständerat,115,Wirtschaft,0.12173913043478261,14
2003,Bundesrat,73,Wirtschaft,0.0958904109589041,7
2003,Volksinitiative,2,Wirtschaft,0,0
2004,Nationalrat,1249,Wirtschaft,0.12489991993594876,156
2004,Ständerat,123,Wirtschaft,0.18699186991869918,23
2004,Bundesrat,75,Wirtschaft,0.16,12
2004,Volksinitiative,3,Wirtschaft,0,0
2005,Nationalrat,1348,Wirtschaft,0.10682492581602374,144
2005,Ständerat,135,Wirtschaft,0.14814814814814814,20
2005,Bundesrat,74,Wirtschaft,0.12162162162162161,9
2005,Volksinitiative,3,Wirtschaft,0,0
2006,Nationalrat,1352,Wirtschaft,0.13535502958579881,183
2006,Ständerat,124,Wirtschaft,0.1532258064516129,19
2006,Bundesrat,91,Wirtschaft,0.06593406593406594,6
2006,Volksinitiative,6,Wirtschaft,0,0
2007,Nationalrat,1398,Wirtschaft,0.086552217453505,121
2007,Ständerat,136,Wirtschaft,0.08823529411764706,12
2007,Bundesrat,82,Wirtschaft,0.08536585365853659,7
2007,Volksinitiative,4,Wirtschaft,0,0
2008,Nationalrat,1644,Wirtschaft,0.09428223844282238,155
2008,Ständerat,142,Wirtschaft,0.07042253521126761,10
2008,Bundesrat,60,Wirtschaft,0.13333333333333333,8
2008,Volksinitiative,6,Wirtschaft,0.16666666666666669,1
2009,Nationalrat,2104,Wirtschaft,0.12595057034220533,265
2009,Ständerat,201,Wirtschaft,0.13930348258706468,28
2009,Bundesrat,79,Wirtschaft,0.1518987341772152,12
2009,Volksinitiative,7,Wirtschaft,0,0
2010,Nationalrat,1873,Wirtschaft,0.10891617725573946,204
2010,Ständerat,184,Wirtschaft,0.07608695652173914,14
2010,Bundesrat,100,Wirtschaft,0.07,7
2010,Volksinitiative,6,Wirtschaft,0.16666666666666669,1
2011,Nationalrat,1792,Wirtschaft,0.12388392857142858,222
2011,Ständerat,179,Wirtschaft,0.1229050279329609,22
2011,Bundesrat,61,Wirtschaft,0.08196721311475409,5
2011,Volksinitiative,3,Wirtschaft,0,0
2012,Nationalrat,1852,Wirtschaft,0.12904967602591794,239
2012,Ständerat,187,Wirtschaft,0.1497326203208556,28
2012,Bundesrat,84,Wirtschaft,0.05952380952380953,5
2012,Volksinitiative,10,Wirtschaft,0.2,2
2013,Nationalrat,1940,Wirtschaft,0.16237113402061853,315
2013,Ständerat,182,Wirtschaft,0.12087912087912088,22
2013,Bundesrat,86,Wirtschaft,0.08139534883720931,7
2013,Volksinitiative,11,Wirtschaft,0.09090909090909091,1
2014,Nationalrat,1994,Wirtschaft,0.16399197592778336,327
2014,Ständerat,185,Wirtschaft,0.1891891891891892,35
2014,Bundesrat,84,Wirtschaft,0.07142857142857144,6
2014,Volksinitiative,7,Wirtschaft,0.14285714285714288,1
2015,Nationalrat,1944,Wirtschaft,0.18364197530864196,357
2015,Ständerat,174,Wirtschaft,0.22988505747126436,40
2015,Bundesrat,71,Wirtschaft,0.15492957746478875,11
2015,Volksinitiative,4,Wirtschaft,0.25,1
2016,Nationalrat,1811,Wirtschaft,0.21755935946990612,394
2016,Ständerat,171,Wirtschaft,0.19883040935672514,34
2016,Bundesrat,69,Wirtschaft,0.13043478260869565,9
2016,Volksinitiative,3,Wirtschaft,0.33333333333333337,1
2017,Nationalrat,2048,Wirtschaft,0.208984375,428
2017,Ständerat,179,Wirtschaft,0.29050279329608936,52
2017,Bundesrat,60,Wirtschaft,0.11666666666666665,7
2017,Volksinitiative,7,Wirtschaft,0.28571428571428575,2
2018,Nationalrat,1127,Wirtschaft,0.1960958296362023,221
2018,Ständerat,82,Wirtschaft,0.24390243902439024,20
2018,Bundesrat,39,Wirtschaft,0.10256410256410257,4
2018,Volksinitiative,2,Wirtschaft,0,0
2000,Nationalrat,239,Beschäftigung Arbeit,NA,NA
2000,Ständerat,33,Beschäftigung Arbeit,NA,NA
2000,Bundesrat,9,Beschäftigung Arbeit,NA,NA
2000,Volksinitiative,5,Beschäftigung Arbeit,NA,NA
2001,Nationalrat,1172,Beschäftigung Arbeit,NA,NA
2001,Ständerat,122,Beschäftigung Arbeit,NA,NA
2001,Bundesrat,70,Beschäftigung Arbeit,NA,NA
2001,Volksinitiative,5,Beschäftigung Arbeit,NA,NA
2002,Nationalrat,1139,Beschäftigung Arbeit,NA,NA
2002,Ständerat,138,Beschäftigung Arbeit,NA,NA
2002,Bundesrat,82,Beschäftigung Arbeit,NA,NA
2003,Nationalrat,1054,Beschäftigung Arbeit,NA,NA
2003,Ständerat,115,Beschäftigung Arbeit,NA,NA
2003,Bundesrat,73,Beschäftigung Arbeit,NA,NA
2003,Volksinitiative,2,Beschäftigung Arbeit,NA,NA
2004,Nationalrat,1249,Beschäftigung Arbeit,NA,NA
2004,Ständerat,123,Beschäftigung Arbeit,NA,NA
2004,Bundesrat,75,Beschäftigung Arbeit,NA,NA
2004,Volksinitiative,3,Beschäftigung Arbeit,NA,NA
2005,Nationalrat,1348,Beschäftigung Arbeit,NA,NA
2005,Ständerat,135,Beschäftigung Arbeit,NA,NA
2005,Bundesrat,74,Beschäftigung Arbeit,NA,NA
2005,Volksinitiative,3,Beschäftigung Arbeit,NA,NA
2006,Nationalrat,1352,Beschäftigung Arbeit,NA,NA
2006,Ständerat,124,Beschäftigung Arbeit,NA,NA
2006,Bundesrat,91,Beschäftigung Arbeit,NA,NA
2006,Volksinitiative,6,Beschäftigung Arbeit,NA,NA
2007,Nationalrat,1398,Beschäftigung Arbeit,NA,NA
2007,Ständerat,136,Beschäftigung Arbeit,NA,NA
2007,Bundesrat,82,Beschäftigung Arbeit,NA,NA
2007,Volksinitiative,4,Beschäftigung Arbeit,NA,NA
2008,Nationalrat,1644,Beschäftigung Arbeit,NA,NA
2008,Ständerat,142,Beschäftigung Arbeit,NA,NA
2008,Bundesrat,60,Beschäftigung Arbeit,NA,NA
2008,Volksinitiative,6,Beschäftigung Arbeit,NA,NA
2009,Nationalrat,2104,Beschäftigung Arbeit,NA,NA
2009,Ständerat,201,Beschäftigung Arbeit,NA,NA
2009,Bundesrat,79,Beschäftigung Arbeit,NA,NA
2009,Volksinitiative,7,Beschäftigung Arbeit,NA,NA
2010,Nationalrat,1873,Beschäftigung Arbeit,NA,NA
2010,Ständerat,184,Beschäftigung Arbeit,NA,NA
2010,Bundesrat,100,Beschäftigung Arbeit,NA,NA
2010,Volksinitiative,6,Beschäftigung Arbeit,NA,NA
2011,Nationalrat,1792,Beschäftigung Arbeit,NA,NA
2011,Ständerat,179,Beschäftigung Arbeit,NA,NA
2011,Bundesrat,61,Beschäftigung Arbeit,NA,NA
2011,Volksinitiative,3,Beschäftigung Arbeit,NA,NA
2012,Nationalrat,1852,Beschäftigung Arbeit,0.0032397408207343412,6
2012,Ständerat,187,Beschäftigung Arbeit,0,0
2012,Bundesrat,84,Beschäftigung Arbeit,0,0
2012,Volksinitiative,10,Beschäftigung Arbeit,0,0
2013,Nationalrat,1940,Beschäftigung Arbeit,0.005670103092783505,11
2013,Ständerat,182,Beschäftigung Arbeit,0,0
2013,Bundesrat,86,Beschäftigung Arbeit,0,0
2013,Volksinitiative,11,Beschäftigung Arbeit,0,0
2014,Nationalrat,1994,Beschäftigung Arbeit,0.04212637913741224,84
2014,Ständerat,185,Beschäftigung Arbeit,0.03783783783783784,7
2014,Bundesrat,84,Beschäftigung Arbeit,0.011904761904761904,1
2014,Volksinitiative,7,Beschäftigung Arbeit,0,0
2015,Nationalrat,1944,Beschäftigung Arbeit,0.07818930041152264,152
2015,Ständerat,174,Beschäftigung Arbeit,0.09195402298850575,16
2015,Bundesrat,71,Beschäftigung Arbeit,0.05633802816901408,4
2015,Volksinitiative,4,Beschäftigung Arbeit,0,0
2016,Nationalrat,1811,Beschäftigung Arbeit,0.0905577029265599,164
2016,Ständerat,171,Beschäftigung Arbeit,0.10526315789473685,18
2016,Bundesrat,69,Beschäftigung Arbeit,0.043478260869565216,3
2016,Volksinitiative,3,Beschäftigung Arbeit,0,0
2017,Nationalrat,2048,Beschäftigung Arbeit,0.076171875,156
2017,Ständerat,179,Beschäftigung Arbeit,0.06145251396648045,11
2017,Bundesrat,60,Beschäftigung Arbeit,0.03333333333333333,2
2017,Volksinitiative,7,Beschäftigung Arbeit,0,0
2018,Nationalrat,1127,Beschäftigung Arbeit,0.09494232475598935,107
2018,Ständerat,82,Beschäftigung Arbeit,0.0975609756097561,8
2018,Bundesrat,39,Beschäftigung Arbeit,0.05128205128205129,2
2018,Volksinitiative,2,Beschäftigung Arbeit,0.5,1
2000,Nationalrat,239,Landwirtschaft,0.100418410041841,24
2000,Ständerat,33,Landwirtschaft,0.06060606060606061,2
2000,Bundesrat,9,Landwirtschaft,0,0
2000,Volksinitiative,5,Landwirtschaft,0,0
2001,Nationalrat,1172,Landwirtschaft,0.05887372013651877,69
2001,Ständerat,122,Landwirtschaft,0.07377049180327869,9
2001,Bundesrat,70,Landwirtschaft,0.014285714285714285,1
2001,Volksinitiative,5,Landwirtschaft,0,0
2002,Nationalrat,1139,Landwirtschaft,0.05882352941176471,67
2002,Ständerat,138,Landwirtschaft,0.057971014492753624,8
2002,Bundesrat,82,Landwirtschaft,0.024390243902439025,2
2003,Nationalrat,1054,Landwirtschaft,0.029411764705882356,31
2003,Ständerat,115,Landwirtschaft,0.052173913043478265,6
2003,Bundesrat,73,Landwirtschaft,0.0136986301369863,1
2003,Volksinitiative,2,Landwirtschaft,0,0
2004,Nationalrat,1249,Landwirtschaft,0.041633306645316254,52
2004,Ständerat,123,Landwirtschaft,0.04878048780487805,6
2004,Bundesrat,75,Landwirtschaft,0.026666666666666665,2
2004,Volksinitiative,3,Landwirtschaft,0.33333333333333337,1
2005,Nationalrat,1348,Landwirtschaft,0.039317507418397624,53
2005,Ständerat,135,Landwirtschaft,0.022222222222222223,3
2005,Bundesrat,74,Landwirtschaft,0.027027027027027025,2
2005,Volksinitiative,3,Landwirtschaft,0,0
2006,Nationalrat,1352,Landwirtschaft,0.031065088757396452,42
2006,Ständerat,124,Landwirtschaft,0.04032258064516129,5
2006,Bundesrat,91,Landwirtschaft,0.02197802197802198,2
2006,Volksinitiative,6,Landwirtschaft,0,0
2007,Nationalrat,1398,Landwirtschaft,0.034334763948497854,48
2007,Ständerat,136,Landwirtschaft,0.04411764705882353,6
2007,Bundesrat,82,Landwirtschaft,0.012195121951219513,1
2007,Volksinitiative,4,Landwirtschaft,0.25,1
2008,Nationalrat,1644,Landwirtschaft,0.05900243309002433,97
2008,Ständerat,142,Landwirtschaft,0.02112676056338028,3
2008,Bundesrat,60,Landwirtschaft,0,0
2008,Volksinitiative,6,Landwirtschaft,0,0
2009,Nationalrat,2104,Landwirtschaft,0.05275665399239544,111
2009,Ständerat,201,Landwirtschaft,0.03482587064676617,7
2009,Bundesrat,79,Landwirtschaft,0.025316455696202535,2
2009,Volksinitiative,7,Landwirtschaft,0,0
2010,Nationalrat,1873,Landwirtschaft,0.06300053390282968,118
2010,Ständerat,184,Landwirtschaft,0.059782608695652176,11
2010,Bundesrat,100,Landwirtschaft,0.02,2
2010,Volksinitiative,6,Landwirtschaft,0,0
2011,Nationalrat,1792,Landwirtschaft,0.04966517857142857,89
2011,Ständerat,179,Landwirtschaft,0.0335195530726257,6
2011,Bundesrat,61,Landwirtschaft,0.01639344262295082,1
2011,Volksinitiative,3,Landwirtschaft,0,0
2012,Nationalrat,1852,Landwirtschaft,0.058315334773218146,108
2012,Ständerat,187,Landwirtschaft,0.026737967914438502,5
2012,Bundesrat,84,Landwirtschaft,0.023809523809523808,2
2012,Volksinitiative,10,Landwirtschaft,0,0
2013,Nationalrat,1940,Landwirtschaft,0.04587628865979381,89
2013,Ständerat,182,Landwirtschaft,0.027472527472527472,5
2013,Bundesrat,86,Landwirtschaft,0.011627906976744186,1
2013,Volksinitiative,11,Landwirtschaft,0,0
2014,Nationalrat,1994,Landwirtschaft,0.05315947843530591,106
2014,Ständerat,185,Landwirtschaft,0.032432432432432434,6
2014,Bundesrat,84,Landwirtschaft,0.011904761904761904,1
2014,Volksinitiative,7,Landwirtschaft,0,0
2015,Nationalrat,1944,Landwirtschaft,0.06327160493827161,123
2015,Ständerat,174,Landwirtschaft,0.040229885057471264,7
2015,Bundesrat,71,Landwirtschaft,0,0
2015,Volksinitiative,4,Landwirtschaft,0.5,2
2016,Nationalrat,1811,Landwirtschaft,0.040309221424627284,73
2016,Ständerat,171,Landwirtschaft,0.023391812865497075,4
2016,Bundesrat,69,Landwirtschaft,0.057971014492753624,4
2016,Volksinitiative,3,Landwirtschaft,0.33333333333333337,1
2017,Nationalrat,2048,Landwirtschaft,0.0556640625,114
2017,Ständerat,179,Landwirtschaft,0.0335195530726257,6
2017,Bundesrat,60,Landwirtschaft,0.016666666666666666,1
2017,Volksinitiative,7,Landwirtschaft,0.42857142857142855,3
2018,Nationalrat,1127,Landwirtschaft,0.05323868677905945,60
2018,Ständerat,82,Landwirtschaft,0.04878048780487805,4
2018,Bundesrat,39,Landwirtschaft,0.025641025641025644,1
2018,Volksinitiative,2,Landwirtschaft,0,0
2000,Nationalrat,239,Finanzwesen,0.10878661087866108,26
2000,Ständerat,33,Finanzwesen,0.2121212121212121,7
2000,Bundesrat,9,Finanzwesen,0.2222222222222222,2
2000,Volksinitiative,5,Finanzwesen,0.2,1
2001,Nationalrat,1172,Finanzwesen,0.05375426621160409,63
2001,Ständerat,122,Finanzwesen,0.05737704918032786,7
2001,Bundesrat,70,Finanzwesen,0.14285714285714288,10
2001,Volksinitiative,5,Finanzwesen,0.2,1
