year,a_author_fraction,total,topic,share,n
2007,Grüne Fraktion,203,Internationale Politik,0.10344827586206896,21
2007,Sozialdemokratische Fraktion,496,Internationale Politik,0.05645161290322581,28
2008,FDP-Liberale Fraktion,42,Internationale Politik,0.023809523809523808,1
2008,Fraktion CVP/EVP/glp,269,Internationale Politik,0.011152416356877325,3
2008,Fraktion der Schweizerischen Volkspartei,448,Internationale Politik,0.060267857142857144,27
2008,Fraktionslos,17,Internationale Politik,0.23529411764705885,4
2008,Freisinnig-demokratische Fraktion,136,Internationale Politik,0.029411764705882356,4
2008,Grüne Fraktion,292,Internationale Politik,0.07876712328767123,23
2008,Sozialdemokratische Fraktion,522,Internationale Politik,0.06321839080459771,33
2009,FDP-Liberale Fraktion,250,Internationale Politik,0.032,8
2009,Fraktion BD,25,Internationale Politik,0.04,1
2009,Fraktion CVP/EVP/glp,359,Internationale Politik,0.02785515320334262,10
2009,Fraktion der Schweizerischen Volkspartei,683,Internationale Politik,0.07174231332357248,49
2009,Grüne Fraktion,307,Internationale Politik,0.08794788273615635,27
2009,Sozialdemokratische Fraktion,590,Internationale Politik,0.06271186440677966,37
2010,FDP-Liberale Fraktion,256,Internationale Politik,0.0234375,6
2010,Fraktion BD,18,Internationale Politik,0,0
2010,Fraktion CVP/EVP/glp,349,Internationale Politik,0.042979942693409746,15
2010,Fraktion der Schweizerischen Volkspartei,589,Internationale Politik,0.0831918505942275,49
2010,Fraktionslos,3,Internationale Politik,0,0
2010,Grüne Fraktion,291,Internationale Politik,0.0824742268041237,24
2010,Sozialdemokratische Fraktion,446,Internationale Politik,0.06502242152466367,29
2011,FDP-Liberale Fraktion,252,Internationale Politik,0.05158730158730159,13
2011,Fraktion BD,41,Internationale Politik,0.024390243902439025,1
2011,Fraktion CVP-EVP,34,Internationale Politik,0.08823529411764706,3
2011,Fraktion CVP/EVP/glp,263,Internationale Politik,0.057034220532319393,15
2011,Fraktion der Schweizerischen Volkspartei,503,Internationale Politik,0.10934393638170974,55
2011,Fraktionslos,16,Internationale Politik,0.125,2
2011,Grüne Fraktion,258,Internationale Politik,0.05813953488372093,15
2011,Grünliberale Fraktion,1,Internationale Politik,0,0
2011,Sozialdemokratische Fraktion,529,Internationale Politik,0.07372400756143667,39
2012,FDP-Liberale Fraktion,236,Internationale Politik,0.02542372881355932,6
2012,Fraktion BD,28,Internationale Politik,0.03571428571428572,1
2012,Fraktion CVP-EVP,303,Internationale Politik,0.019801980198019802,6
2012,Fraktion der Schweizerischen Volkspartei,500,Internationale Politik,0.054000000000000006,27
2012,Fraktionslos,25,Internationale Politik,0,0
2012,Grüne Fraktion,191,Internationale Politik,0.04712041884816754,9
2012,Grünliberale Fraktion,62,Internationale Politik,0.06451612903225806,4
2012,Sozialdemokratische Fraktion,591,Internationale Politik,0.09137055837563451,54
2013,FDP-Liberale Fraktion,232,Internationale Politik,0.030172413793103446,7
2013,Fraktion BD,34,Internationale Politik,0.05882352941176471,2
2013,Fraktion CVP-EVP,324,Internationale Politik,0.05864197530864198,19
2013,Fraktion der Schweizerischen Volkspartei,518,Internationale Politik,0.0637065637065637,33
2013,Fraktionslos,21,Internationale Politik,0,0
2013,Grüne Fraktion,228,Internationale Politik,0.11403508771929825,26
2013,Grünliberale Fraktion,94,Internationale Politik,0.010638297872340425,1
2013,Sozialdemokratische Fraktion,591,Internationale Politik,0.12013536379018612,71
2014,FDP-Liberale Fraktion,268,Internationale Politik,0.05223880597014926,14
2014,Fraktion BD,39,Internationale Politik,0,0
2014,Fraktion CVP-EVP,334,Internationale Politik,0.10479041916167665,35
2014,Fraktion der Schweizerischen Volkspartei,530,Internationale Politik,0.11509433962264151,61
2014,Grüne Fraktion,229,Internationale Politik,0.11790393013100436,27
2014,Grünliberale Fraktion,89,Internationale Politik,0.06741573033707865,6
2014,Sozialdemokratische Fraktion,611,Internationale Politik,0.14566284779050737,89
2015,CVP-Fraktion,48,Internationale Politik,0.08333333333333334,4
2015,FDP-Liberale Fraktion,285,Internationale Politik,0.07719298245614035,22
2015,Fraktion BD,60,Internationale Politik,0.1,6
2015,Fraktion CVP-EVP,235,Internationale Politik,0.10638297872340426,25
2015,Fraktion der Schweizerischen Volkspartei,556,Internationale Politik,0.12050359712230216,67
2015,Grüne Fraktion,200,Internationale Politik,0.165,33
2015,Grünliberale Fraktion,82,Internationale Politik,0.06097560975609756,5
2015,Sozialdemokratische Fraktion,583,Internationale Politik,0.15780445969125215,92
2016,CVP-Fraktion,314,Internationale Politik,0.11146496815286625,35
2016,FDP-Liberale Fraktion,259,Internationale Politik,0.0694980694980695,18
2016,Fraktion BD,44,Internationale Politik,0,0
2016,Fraktion der Schweizerischen Volkspartei,567,Internationale Politik,0.19400352733686066,110
2016,Grüne Fraktion,164,Internationale Politik,0.15853658536585366,26
2016,Grünliberale Fraktion,59,Internationale Politik,0.11864406779661017,7
2016,Sozialdemokratische Fraktion,511,Internationale Politik,0.16829745596868886,86
2017,CVP-Fraktion,343,Internationale Politik,0.13411078717201166,46
2017,FDP-Liberale Fraktion,266,Internationale Politik,0.03759398496240601,10
2017,Fraktion BD,44,Internationale Politik,0.045454545454545456,2
2017,Fraktion der Schweizerischen Volkspartei,682,Internationale Politik,0.12316715542521994,84
2017,Grüne Fraktion,197,Internationale Politik,0.17258883248730963,34
2017,Grünliberale Fraktion,66,Internationale Politik,0.030303030303030304,2
2017,Sozialdemokratische Fraktion,532,Internationale Politik,0.19360902255639098,103
2018,CVP-Fraktion,196,Internationale Politik,0.09183673469387756,18
2018,FDP-Liberale Fraktion,174,Internationale Politik,0.07471264367816093,13
2018,Fraktion BD,28,Internationale Politik,0.25,7
2018,Fraktion der Schweizerischen Volkspartei,307,Internationale Politik,0.09771986970684039,30
2018,Grüne Fraktion,134,Internationale Politik,0.16417910447761194,22
2018,Grünliberale Fraktion,40,Internationale Politik,0.025,1
2018,Sozialdemokratische Fraktion,294,Internationale Politik,0.17687074829931973,52
2000,Christlichdemokratische Fraktion,36,Sicherheitspolitik,0.08333333333333334,3
2000,Evangelische und Unabhängige Fraktion,6,Sicherheitspolitik,0,0
2000,Fraktion der Schweizerischen Volkspartei,30,Sicherheitspolitik,0.13333333333333333,4
2000,Fraktionslos,11,Sicherheitspolitik,0.2727272727272727,3
2000,Freisinnig-demokratische Fraktion,58,Sicherheitspolitik,0.08620689655172414,5
2000,Grüne Fraktion,26,Sicherheitspolitik,0.07692307692307693,2
2000,Liberale Fraktion,6,Sicherheitspolitik,0,0
2000,Sozialdemokratische Fraktion,73,Sicherheitspolitik,0.0684931506849315,5
2001,Christlichdemokratische Fraktion,183,Sicherheitspolitik,0.06557377049180328,12
2001,Evangelische und Unabhängige Fraktion,34,Sicherheitspolitik,0,0
2001,Fraktion der Schweizerischen Volkspartei,208,Sicherheitspolitik,0.11538461538461538,24
2001,Fraktionslos,41,Sicherheitspolitik,0.12195121951219512,5
2001,Freisinnig-demokratische Fraktion,174,Sicherheitspolitik,0.08620689655172414,15
2001,Grüne Fraktion,133,Sicherheitspolitik,0.06015037593984962,8
2001,Liberale Fraktion,20,Sicherheitspolitik,0.05,1
2001,Sozialdemokratische Fraktion,373,Sicherheitspolitik,0.04289544235924933,16
2002,Christlichdemokratische Fraktion,214,Sicherheitspolitik,0.04205607476635514,9
2002,Evangelische und Unabhängige Fraktion,26,Sicherheitspolitik,0,0
2002,Fraktion der Schweizerischen Volkspartei,196,Sicherheitspolitik,0.08673469387755102,17
2002,Fraktionslos,45,Sicherheitspolitik,0,0
2002,Freisinnig-demokratische Fraktion,189,Sicherheitspolitik,0.06349206349206349,12
2002,Grüne Fraktion,95,Sicherheitspolitik,0.11578947368421053,11
2002,Liberale Fraktion,20,Sicherheitspolitik,0.05,1
2002,Sozialdemokratische Fraktion,350,Sicherheitspolitik,0.045714285714285714,16
2003,Christlichdemokratische Fraktion,176,Sicherheitspolitik,0.07386363636363637,13
2003,Evangelische und Unabhängige Fraktion,26,Sicherheitspolitik,0.11538461538461538,3
2003,EVP/EDU Fraktion,5,Sicherheitspolitik,0,0
2003,Fraktion der Schweizerischen Volkspartei,211,Sicherheitspolitik,0.07582938388625593,16
2003,Fraktionslos,40,Sicherheitspolitik,0.2,8
2003,Freisinnig-demokratische Fraktion,142,Sicherheitspolitik,0.1056338028169014,15
2003,Grüne Fraktion,109,Sicherheitspolitik,0.13761467889908258,15
2003,Liberale Fraktion,13,Sicherheitspolitik,0.15384615384615385,2
2003,Sozialdemokratische Fraktion,309,Sicherheitspolitik,0.08090614886731391,25
2004,Christlichdemokratische Fraktion,230,Sicherheitspolitik,0.07391304347826087,17
2004,EVP/EDU Fraktion,33,Sicherheitspolitik,0.09090909090909091,3
2004,Fraktion der Schweizerischen Volkspartei,271,Sicherheitspolitik,0.1070110701107011,29
2004,Fraktionslos,48,Sicherheitspolitik,0.04166666666666667,2
2004,Freisinnig-demokratische Fraktion,187,Sicherheitspolitik,0.0481283422459893,9
2004,Grüne Fraktion,136,Sicherheitspolitik,0.13970588235294118,19
2004,Sozialdemokratische Fraktion,410,Sicherheitspolitik,0.11951219512195121,49
2005,Christlichdemokratische Fraktion,209,Sicherheitspolitik,0.04784688995215311,10
2005,EVP/EDU Fraktion,50,Sicherheitspolitik,0.06,3
2005,Fraktion der Schweizerischen Volkspartei,309,Sicherheitspolitik,0.18446601941747573,57
2005,Fraktionslos,61,Sicherheitspolitik,0.03278688524590164,2
2005,Freisinnig-demokratische Fraktion,176,Sicherheitspolitik,0.08522727272727273,15
2005,Grüne Fraktion,184,Sicherheitspolitik,0.16847826086956524,31
2005,Sozialdemokratische Fraktion,434,Sicherheitspolitik,0.0967741935483871,42
2006,Christlichdemokratische Fraktion,199,Sicherheitspolitik,0.015075376884422112,3
2006,EVP/EDU Fraktion,45,Sicherheitspolitik,0.08888888888888889,4
2006,Fraktion der Schweizerischen Volkspartei,271,Sicherheitspolitik,0.12177121771217711,33
2006,Fraktionslos,53,Sicherheitspolitik,0.018867924528301886,1
2006,Freisinnig-demokratische Fraktion,205,Sicherheitspolitik,0.04390243902439025,9
2006,Grüne Fraktion,216,Sicherheitspolitik,0.13425925925925924,29
2006,Sozialdemokratische Fraktion,421,Sicherheitspolitik,0.0997624703087886,42
2007,Christlichdemokratische Fraktion,146,Sicherheitspolitik,0.0273972602739726,4
2007,EVP/EDU Fraktion,23,Sicherheitspolitik,0.043478260869565216,1
2007,Fraktion CVP/EVP/glp,29,Sicherheitspolitik,0.10344827586206896,3
2007,Fraktion der Schweizerischen Volkspartei,331,Sicherheitspolitik,0.1268882175226586,42
2007,Fraktionslos,35,Sicherheitspolitik,0.05714285714285714,2
2007,Freisinnig-demokratische Fraktion,198,Sicherheitspolitik,0.020202020202020204,4
2007,Grüne Fraktion,203,Sicherheitspolitik,0.1330049261083744,27
2007,Sozialdemokratische Fraktion,496,Sicherheitspolitik,0.07862903225806452,39
2008,FDP-Liberale Fraktion,42,Sicherheitspolitik,0.023809523809523808,1
2008,Fraktion CVP/EVP/glp,269,Sicherheitspolitik,0.055762081784386616,15
2008,Fraktion der Schweizerischen Volkspartei,448,Sicherheitspolitik,0.140625,63
2008,Fraktionslos,17,Sicherheitspolitik,0.11764705882352942,2
2008,Freisinnig-demokratische Fraktion,136,Sicherheitspolitik,0.08823529411764706,12
2008,Grüne Fraktion,292,Sicherheitspolitik,0.08561643835616438,25
2008,Sozialdemokratische Fraktion,522,Sicherheitspolitik,0.08812260536398467,46
2009,FDP-Liberale Fraktion,250,Sicherheitspolitik,0.076,19
2009,Fraktion BD,25,Sicherheitspolitik,0.08,2
2009,Fraktion CVP/EVP/glp,359,Sicherheitspolitik,0.05013927576601671,18
2009,Fraktion der Schweizerischen Volkspartei,683,Sicherheitspolitik,0.07613469985358712,52
2009,Grüne Fraktion,307,Sicherheitspolitik,0.0781758957654723,24
2009,Sozialdemokratische Fraktion,590,Sicherheitspolitik,0.09322033898305085,55
2010,FDP-Liberale Fraktion,256,Sicherheitspolitik,0.09765625,25
2010,Fraktion BD,18,Sicherheitspolitik,0.2777777777777778,5
2010,Fraktion CVP/EVP/glp,349,Sicherheitspolitik,0.05730659025787966,20
2010,Fraktion der Schweizerischen Volkspartei,589,Sicherheitspolitik,0.04753820033955857,28
2010,Fraktionslos,3,Sicherheitspolitik,0,0
2010,Grüne Fraktion,291,Sicherheitspolitik,0.0859106529209622,25
2010,Sozialdemokratische Fraktion,446,Sicherheitspolitik,0.06053811659192825,27
2011,FDP-Liberale Fraktion,252,Sicherheitspolitik,0.05952380952380953,15
2011,Fraktion BD,41,Sicherheitspolitik,0,0
2011,Fraktion CVP-EVP,34,Sicherheitspolitik,0.11764705882352942,4
2011,Fraktion CVP/EVP/glp,263,Sicherheitspolitik,0.03041825095057034,8
2011,Fraktion der Schweizerischen Volkspartei,503,Sicherheitspolitik,0.04373757455268389,22
2011,Fraktionslos,16,Sicherheitspolitik,0,0
2011,Grüne Fraktion,258,Sicherheitspolitik,0.07364341085271317,19
2011,Grünliberale Fraktion,1,Sicherheitspolitik,0,0
2011,Sozialdemokratische Fraktion,529,Sicherheitspolitik,0.05482041587901701,29
2012,FDP-Liberale Fraktion,236,Sicherheitspolitik,0.02542372881355932,6
2012,Fraktion BD,28,Sicherheitspolitik,0,0
2012,Fraktion CVP-EVP,303,Sicherheitspolitik,0.0429042904290429,13
2012,Fraktion der Schweizerischen Volkspartei,500,Sicherheitspolitik,0.032,16
2012,Fraktionslos,25,Sicherheitspolitik,0,0
2012,Grüne Fraktion,191,Sicherheitspolitik,0.03141361256544503,6
2012,Grünliberale Fraktion,62,Sicherheitspolitik,0.12903225806451613,8
2012,Sozialdemokratische Fraktion,591,Sicherheitspolitik,0.05752961082910321,34
2013,FDP-Liberale Fraktion,232,Sicherheitspolitik,0.047413793103448273,11
2013,Fraktion BD,34,Sicherheitspolitik,0.05882352941176471,2
2013,Fraktion CVP-EVP,324,Sicherheitspolitik,0.0925925925925926,30
2013,Fraktion der Schweizerischen Volkspartei,518,Sicherheitspolitik,0.07915057915057915,41
2013,Fraktionslos,21,Sicherheitspolitik,0.047619047619047616,1
2013,Grüne Fraktion,228,Sicherheitspolitik,0.11403508771929825,26
2013,Grünliberale Fraktion,94,Sicherheitspolitik,0.07446808510638298,7
2013,Sozialdemokratische Fraktion,591,Sicherheitspolitik,0.09644670050761421,57
2014,FDP-Liberale Fraktion,268,Sicherheitspolitik,0.041044776119402986,11
2014,Fraktion BD,39,Sicherheitspolitik,0.07692307692307693,3
2014,Fraktion CVP-EVP,334,Sicherheitspolitik,0.11976047904191617,40
2014,Fraktion der Schweizerischen Volkspartei,530,Sicherheitspolitik,0.06981132075471698,37
2014,Grüne Fraktion,229,Sicherheitspolitik,0.12663755458515286,29
2014,Grünliberale Fraktion,89,Sicherheitspolitik,0.10112359550561799,9
2014,Sozialdemokratische Fraktion,611,Sicherheitspolitik,0.0851063829787234,52
2015,CVP-Fraktion,48,Sicherheitspolitik,0.125,6
2015,FDP-Liberale Fraktion,285,Sicherheitspolitik,0.052631578947368425,15
2015,Fraktion BD,60,Sicherheitspolitik,0.05,3
2015,Fraktion CVP-EVP,235,Sicherheitspolitik,0.05957446808510638,14
2015,Fraktion der Schweizerischen Volkspartei,556,Sicherheitspolitik,0.11510791366906474,64
2015,Grüne Fraktion,200,Sicherheitspolitik,0.1,20
2015,Grünliberale Fraktion,82,Sicherheitspolitik,0.10975609756097562,9
2015,Sozialdemokratische Fraktion,583,Sicherheitspolitik,0.07547169811320754,44
2016,CVP-Fraktion,314,Sicherheitspolitik,0.09554140127388536,30
2016,FDP-Liberale Fraktion,259,Sicherheitspolitik,0.10424710424710425,27
2016,Fraktion BD,44,Sicherheitspolitik,0.20454545454545453,9
2016,Fraktion der Schweizerischen Volkspartei,567,Sicherheitspolitik,0.1710758377425044,97
2016,Grüne Fraktion,164,Sicherheitspolitik,0.11585365853658537,19
2016,Grünliberale Fraktion,59,Sicherheitspolitik,0.06779661016949153,4
2016,Sozialdemokratische Fraktion,511,Sicherheitspolitik,0.11350293542074365,58
2017,CVP-Fraktion,343,Sicherheitspolitik,0.09329446064139942,32
2017,FDP-Liberale Fraktion,266,Sicherheitspolitik,0.08646616541353383,23
2017,Fraktion BD,44,Sicherheitspolitik,0.13636363636363635,6
2017,Fraktion der Schweizerischen Volkspartei,682,Sicherheitspolitik,0.13049853372434017,89
2017,Grüne Fraktion,197,Sicherheitspolitik,0.15228426395939088,30
2017,Grünliberale Fraktion,66,Sicherheitspolitik,0.07575757575757576,5
2017,Sozialdemokratische Fraktion,532,Sicherheitspolitik,0.12781954887218044,68
2018,CVP-Fraktion,196,Sicherheitspolitik,0.0663265306122449,13
2018,FDP-Liberale Fraktion,174,Sicherheitspolitik,0.06321839080459771,11
2018,Fraktion BD,28,Sicherheitspolitik,0.32142857142857145,9
2018,Fraktion der Schweizerischen Volkspartei,307,Sicherheitspolitik,0.08469055374592833,26
2018,Grüne Fraktion,134,Sicherheitspolitik,0.17164179104477612,23
2018,Grünliberale Fraktion,40,Sicherheitspolitik,0.125,5
2018,Sozialdemokratische Fraktion,294,Sicherheitspolitik,0.1292517006802721,38
2000,Christlichdemokratische Fraktion,36,Europapolitik,0.027777777777777776,1
2000,Evangelische und Unabhängige Fraktion,6,Europapolitik,0,0
2000,Fraktion der Schweizerischen Volkspartei,30,Europapolitik,0,0
2000,Fraktionslos,11,Europapolitik,0,0
2000,Freisinnig-demokratische Fraktion,58,Europapolitik,0.034482758620689655,2
2000,Grüne Fraktion,26,Europapolitik,0,0
2000,Liberale Fraktion,6,Europapolitik,0,0
2000,Sozialdemokratische Fraktion,73,Europapolitik,0.0136986301369863,1
2001,Christlichdemokratische Fraktion,183,Europapolitik,0.010928961748633882,2
2001,Evangelische und Unabhängige Fraktion,34,Europapolitik,0,0
2001,Fraktion der Schweizerischen Volkspartei,208,Europapolitik,0.028846153846153844,6
2001,Fraktionslos,41,Europapolitik,0.024390243902439025,1
2001,Freisinnig-demokratische Fraktion,174,Europapolitik,0.034482758620689655,6
2001,Grüne Fraktion,133,Europapolitik,0.02255639097744361,3
2001,Liberale Fraktion,20,Europapolitik,0,0
2001,Sozialdemokratische Fraktion,373,Europapolitik,0.0160857908847185,6
2002,Christlichdemokratische Fraktion,214,Europapolitik,0.014018691588785047,3
2002,Evangelische und Unabhängige Fraktion,26,Europapolitik,0,0
2002,Fraktion der Schweizerischen Volkspartei,196,Europapolitik,0.015306122448979591,3
2002,Fraktionslos,45,Europapolitik,0.022222222222222223,1
2002,Freisinnig-demokratische Fraktion,189,Europapolitik,0.015873015873015872,3
2002,Grüne Fraktion,95,Europapolitik,0.010526315789473684,1
2002,Liberale Fraktion,20,Europapolitik,0.05,1
2002,Sozialdemokratische Fraktion,350,Europapolitik,0.02,7
2003,Christlichdemokratische Fraktion,176,Europapolitik,0.011363636363636364,2
2003,Evangelische und Unabhängige Fraktion,26,Europapolitik,0,0
2003,EVP/EDU Fraktion,5,Europapolitik,0,0
2003,Fraktion der Schweizerischen Volkspartei,211,Europapolitik,0.023696682464454978,5
2003,Fraktionslos,40,Europapolitik,0,0
2003,Freisinnig-demokratische Fraktion,142,Europapolitik,0.00704225352112676,1
2003,Grüne Fraktion,109,Europapolitik,0.01834862385321101,2
2003,Liberale Fraktion,13,Europapolitik,0,0
2003,Sozialdemokratische Fraktion,309,Europapolitik,0.01941747572815534,6
2004,Christlichdemokratische Fraktion,230,Europapolitik,0.026086956521739132,6
2004,EVP/EDU Fraktion,33,Europapolitik,0,0
2004,Fraktion der Schweizerischen Volkspartei,271,Europapolitik,0.04428044280442805,12
2004,Fraktionslos,48,Europapolitik,0,0
2004,Freisinnig-demokratische Fraktion,187,Europapolitik,0.0641711229946524,12
2004,Grüne Fraktion,136,Europapolitik,0.014705882352941178,2
2004,Sozialdemokratische Fraktion,410,Europapolitik,0.021951219512195124,9
2005,Christlichdemokratische Fraktion,209,Europapolitik,0.028708133971291863,6
2005,EVP/EDU Fraktion,50,Europapolitik,0.02,1
2005,Fraktion der Schweizerischen Volkspartei,309,Europapolitik,0.08737864077669903,27
2005,Fraktionslos,61,Europapolitik,0.04918032786885246,3
2005,Freisinnig-demokratische Fraktion,176,Europapolitik,0.03977272727272727,7
2005,Grüne Fraktion,184,Europapolitik,0.005434782608695652,1
2005,Sozialdemokratische Fraktion,434,Europapolitik,0.013824884792626729,6
2006,Christlichdemokratische Fraktion,199,Europapolitik,0.05025125628140704,10
2006,EVP/EDU Fraktion,45,Europapolitik,0.044444444444444446,2
2006,Fraktion der Schweizerischen Volkspartei,271,Europapolitik,0.047970479704797044,13
2006,Fraktionslos,53,Europapolitik,0.018867924528301886,1
2006,Freisinnig-demokratische Fraktion,205,Europapolitik,0.058536585365853655,12
2006,Grüne Fraktion,216,Europapolitik,0.009259259259259259,2
2006,Sozialdemokratische Fraktion,421,Europapolitik,0.035629453681710214,15
2007,Christlichdemokratische Fraktion,146,Europapolitik,0.00684931506849315,1
2007,EVP/EDU Fraktion,23,Europapolitik,0,0
2007,Fraktion CVP/EVP/glp,29,Europapolitik,0,0
2007,Fraktion der Schweizerischen Volkspartei,331,Europapolitik,0.03625377643504532,12
2007,Fraktionslos,35,Europapolitik,0.05714285714285714,2
2007,Freisinnig-demokratische Fraktion,198,Europapolitik,0.050505050505050504,10
2007,Grüne Fraktion,203,Europapolitik,0.0049261083743842365,1
2007,Sozialdemokratische Fraktion,496,Europapolitik,0.028225806451612906,14
2008,FDP-Liberale Fraktion,42,Europapolitik,0.023809523809523808,1
2008,Fraktion CVP/EVP/glp,269,Europapolitik,0.02973977695167286,8
2008,Fraktion der Schweizerischen Volkspartei,448,Europapolitik,0.04241071428571429,19
2008,Fraktionslos,17,Europapolitik,0.05882352941176471,1
2008,Freisinnig-demokratische Fraktion,136,Europapolitik,0.03676470588235294,5
2008,Grüne Fraktion,292,Europapolitik,0.003424657534246575,1
2008,Sozialdemokratische Fraktion,522,Europapolitik,0.019157088122605363,10
2009,FDP-Liberale Fraktion,250,Europapolitik,0.04,10
2009,Fraktion BD,25,Europapolitik,0,0
2009,Fraktion CVP/EVP/glp,359,Europapolitik,0.022284122562674095,8
2009,Fraktion der Schweizerischen Volkspartei,683,Europapolitik,0.048316251830161056,33
2009,Grüne Fraktion,307,Europapolitik,0.0065146579804560255,2
2009,Sozialdemokratische Fraktion,590,Europapolitik,0.015254237288135592,9
2010,FDP-Liberale Fraktion,256,Europapolitik,0.0390625,10
2010,Fraktion BD,18,Europapolitik,0,0
2010,Fraktion CVP/EVP/glp,349,Europapolitik,0.011461318051575931,4
2010,Fraktion der Schweizerischen Volkspartei,589,Europapolitik,0.050933786078098474,30
2010,Fraktionslos,3,Europapolitik,0,0
2010,Grüne Fraktion,291,Europapolitik,0.027491408934707903,8
2010,Sozialdemokratische Fraktion,446,Europapolitik,0.017937219730941704,8
2011,FDP-Liberale Fraktion,252,Europapolitik,0.05158730158730159,13
2011,Fraktion BD,41,Europapolitik,0.04878048780487805,2
2011,Fraktion CVP-EVP,34,Europapolitik,0.05882352941176471,2
2011,Fraktion CVP/EVP/glp,263,Europapolitik,0.022813688212927757,6
2011,Fraktion der Schweizerischen Volkspartei,503,Europapolitik,0.04572564612326044,23
2011,Fraktionslos,16,Europapolitik,0.0625,1
2011,Grüne Fraktion,258,Europapolitik,0.01937984496124031,5
